question,answer
"问题：“一万年农业，五千年文明，两千年大一统”指的是 选项：(A)中华文明 (B)埃及文明 (C)印度文明 (D)希腊文明
答案：从A到D, 我们应选择",A
"问题：“什尔巴克，这是个你也知道的市镇，它的位置在幼发拉底。那是个古老的市镇，诸神都在那里存身，是他们让诸大神泛起洪水……”以上文字出自 选项：(A)《吉尔伽美什》 (B)《罗摩衍那》 (C)《摩诃婆罗多》 (D)《荷马史诗》
答案：从A到D, 我们应选择",A
"问题：“每一国的人民，一方面要遵守自身特有的法律制度和社会习俗，一方面要遵守全人类共同的法律。……根据自然理性，适用于全人类的法律称为列国通法”。与此理论相关的法律实践是 选项：(A)汉穆拉比颁布了集古代两河流域各国法律之大成的法典 (B)梭伦改革时期颁布了废除债务奴隶的法令 (C)罗马共和国政府公布了“十二铜表法” (D)卡拉卡拉皇帝敕令授予罗马帝国全体自由公民以公民权
答案：从A到D, 我们应选择",D
"问题：在中央集权体制初创的秦朝，选用啬夫的是 选项：(A)太尉 (B)皇帝 (C)郡守、县令 (D)丞相
答案：从A到D, 我们应选择",C
"问题：公元前202年汉朝建立。这一年处在 选项：(A)公元前2世纪初 (B)公元前2世纪末 (C)公元前3世纪初 (D)公元前3世纪末
答案：从A到D, 我们应选择",D
"问题：“井田之变，豪人货殖，馆舍布于州郡，田亩连于方国”描述的是 选项：(A)西周诸侯封地的情况 (B)秦朝实行郡县制后的情况 (C)汉武帝时代的盛况 (D)东汉豪强势力膨胀的情况
答案：从A到D, 我们应选择",D
"问题：为研究三国时代的历史，某同学找来了电脑游戏《三国英杰传》、二十四史中的《三国志》、小说《三国演义》、电视剧《三国》的影碟，其中属于第一手史料的是 选项：(A)《三国志》 (B)《三国演义》 (C)《三国》 (D)《三国英杰传》
答案：从A到D, 我们应选择",A
"问题：以下史实中哪一项反映了唐代的民族交往？ 选项：(A)鲜卑族的拓跋氏改姓元氏 (B)胡床、胡服、胡食传到中原地区，并为汉人所接受 (C)文成公主嫁往吐蕃时带去书籍、耕作用具和蔬菜种子等 (D)中央设宣政院兼管吐蕃事务
答案：从A到D, 我们应选择",C
"问题：“都省握天下之机，十省分天下之治”描述的是哪一朝代的行政管理体制？ 选项：(A)隋朝 (B)唐朝 (C)北宋 (D)元朝
答案：从A到D, 我们应选择",D
"问题：在一张地图上，出现了“欧逻巴”、“亚细亚”、“地中海”、“大西洋”、“尼罗河”等汉字地名，“大地是球形的”这一观念被引入了中国。这张地图的绘制者是 选项：(A)沈括 (B)马可·波罗 (C)利玛窦 (D)徐光启
答案：从A到D, 我们应选择",C
"问题：以下哪项表述是对明代“朝贡贸易”的准确理解？ 选项：(A)朝贡贸易展示了天朝威仪 (B)朝贡国可自由来华贸易 (C)各朝贡国贡期一致 (D)政府在朝贡贸易中获利甚多
答案：从A到D, 我们应选择",A
"问题：一位清朝皇帝曾赋诗言志：“万里扶桑早挂弓，水犀军指岛门空。……海隅久念苍生困，耕凿从今九壤同。”诗中壮志因何事而发？ 选项：(A)抗击沙俄入侵 (B)设置伊犁将军 (C)平定准噶尔叛乱 (D)收复台湾
答案：从A到D, 我们应选择",D
"问题：历史学家斯塔夫里阿诺斯在他的《全球通史》中，将公元1500年作为世界历史的转折点。以下哪一史实可以作为这种历史分期的依据？ 选项：(A)文艺复兴运动的兴起 (B)新航路的开辟 (C)圈地运动的发生 (D)宗教改革的发端
答案：从A到D, 我们应选择",B
"问题：“一个君主的臣民，不得到君主的允许，便不能抛弃君主政体、返回乌合之众的混乱状态，也不能将他们自己的人格从承当者身上转移到另一个人或另一个集体身上。”持以上观点的思想家是 选项：(A)洛克 (B)霍布斯 (C)伏尔泰 (D)孟德斯鸠
答案：从A到D, 我们应选择",B
"问题：人类历史上第一个阐明资产阶级民主共和国原则的政治纲领是 选项：(A)《权利法案》 (B)《王位继承法》 (C)《独立宣言》 (D)《人权宣言》
答案：从A到D, 我们应选择",C
"问题：1868年日本改元“明治”推行新政，新政的首要举措是 选项：(A)展开“修约运动” (B)强化中央政府的权力 (C)实行“殖产兴业”政策 (D)推行教育改革
答案：从A到D, 我们应选择",B
"问题：上海租界在历史上有许多不同的称谓，如“夷场”、“冒险家的乐园”、“文明的窗口”、“外人居留地”等，其中最淡化价值判断的称谓是 选项：(A)夷场 (B)冒险家的乐园 (C)文明的窗口 (D)外人居留地
答案：从A到D, 我们应选择",D
